MAJOR SECTOR,STOCKS,WEIGHT,SYMBOL,NAME OF COMPANY
Upstream,selan exploratn tech,0.43%,selan,selan exploration technology limited
Upstream,reliance industries,12.40%,reliance,reliance industries limited
Upstream,oil india,39.59%,oil,oil india limited
Upstream,ongc,46.11%,ongc,oil & natural gas corporation limited
Upstream,hind oil exploration,1.48%,bajajhind,bajaj hindusthan sugar limited
Recycling,va tech wabag,14.70%,wabag,va tech wabag limited
Recycling,urban env waste mgt,0.47%,gmrp&ui,gmr power and urban infra limited
Recycling,tinna rubber & infra,3.83%,elgirubco,elgi rubber company limited
Recycling,race eco chain,1.74%,race,race eco chain limited
Recycling,pondy oxides & chem.,2.70%,pocl,pondy oxides & chemicals limited
Recycling,nupur recycle,2.16%,nrl,nupur recyclers limited
Recycling,nile,1.21%,hindunilvr,hindustan unilever limited
Recycling,ion exchage,23.16%,aakash,aakash exploration services limited
Recycling,indag rubber,1.16%,elgirubco,elgi rubber company limited
Recycling,hariyana ship break,0.17%,accuracy,accuracy shipping limited
Recycling,gravita india,21.07%,gravita,gravita india limited
Recycling,ganesha ecosphere,7.80%,ganecos,ganesha ecosphere limited
Recycling,grp,2.64%,grpltd,grp limited
Recycling,felix industries,1.42%,aaron,aaron industries limited
Recycling,elgi rubber co.,0.81%,elgiequip,elgi equipments limited
Recycling,eco recycling,3.32%,adaniports,adani ports and special economic zone limited
Recycling,ems,7.15%,emslimited,ems limited
Recycling,cerebra integ. tech,0.23%,cerebraint,cerebra integrated technologies limited
Recycling,antony waste hand,4.25%,awhcl,antony waste handling cell limited
IT Large Cap,wipro,8.31%,wipro,wipro limited
IT Large Cap,tech mahindra,3.99%,techm,tech mahindra limited
IT Large Cap,tcs,46.38%,tcs,tata consultancy services limited
IT Large Cap,ltimindtree,4.74%,ltim,ltimindtree limited
IT Large Cap,infosys,20.33%,infy,infosys limited
IT Large Cap,info edge,2.42%,naukri,info edge (india) limited
IT Large Cap,hcl tech.,13.84%,ghcl,ghcl limited
Diagnostic Chains,vijaya diagnostic,9.04%,vijaya,vijaya diagnostic centre limited
Diagnostic Chains,thyrocare tech.,8.35%,thyrocare,thyrocare technologies limited
Diagnostic Chains,metropolis health.,21.32%,metropolis,metropolis healthcare limited
Diagnostic Chains,krsnaa diagnostics,3.32%,krsnaa,krsnaa diagnostics limited
Diagnostic Chains,fortis healthcare,8.14%,fortis,fortis healthcare limited
Diagnostic Chains,dr. lal pathlabs,43.34%,drreddy,dr. reddy's laboratories limited
Diagnostic Chains,apollo hospital ent.,6.48%,aplapollo,apl apollo tubes limited
IT/ITeS,eclerx services,0.36%,eclerx,eclerx services limited
IT/ITeS,zen technologies,0.24%,zentec,zen technologies limited
IT/ITeS,wipro,7.79%,wipro,wipro limited
IT/ITeS,tejas networks,0.38%,tejasnet,tejas networks limited
IT/ITeS,tech mahindra,3.74%,techm,tech mahindra limited
IT/ITeS,tata elxsi,1.48%,tataelxsi,tata elxsi limited
IT/ITeS,tcs,43.55%,tcs,tata consultancy services limited
IT/ITeS,ramco systems,0.03%,ramcosys,ramco systems limited
IT/ITeS,quick heal tech,0.08%,quickheal,quick heal technologies limited
IT/ITeS,persistent systems,1.89%,persistent,persistent systems limited
IT/ITeS,oracle finl. service,2.38%,ofss,oracle financial services software limited
IT/ITeS,nucleus software exp,0.10%,nucleus,nucleus software exports limited
IT/ITeS,ltimindtree,4.44%,ltim,ltimindtree limited
IT/ITeS,infosys,19.07%,infy,infosys limited
IT/ITeS,hcl tech.,12.98%,ghcl,ghcl limited
IT/ITeS,cyient,0.68%,cyient,cyient limited
IT/ITeS,birlasoft,0.65%,bsoft,birlasoft limited
IT/ITeS,aurum proptech,0.03%,aurum,aurum proptech limited
IT/ITeS,accelya solutions,0.08%,accelya,accelya solutions india limited
IT/ITeS,3i infotech,0.02%,3iinfoltd,3i infotech limited
Home Finance,star housing finance,0.26%,bluestarco,blue star limited
Home Finance,sammaan capital,9.13%,sammaancap,sammaan capital limited
Home Finance,srg housing,0.25%,srghfl,srg housing finance limited
Home Finance,repco home finance,1.91%,repcohome,repco home finance limited
Home Finance,pnb housing finance,13.37%,pnbhousing,pnb housing finance limited
Home Finance,lic housing finance,24.04%,lichsgfin,lic housing finance limited
Home Finance,india shelter fin.,4.46%,3mindia,3m india limited
Home Finance,housing & urban dev.,13.82%,aadharhfc,aadhar housing finance limited
Home Finance,home first finance,5.63%,homefirst,home first finance company india limited
Home Finance,gic housing fin,0.79%,gichsgfin,gic housing finance limited
Home Finance,can fin homes,7.25%,canfinhome,can fin homes limited
Home Finance,aptus value housing,11.37%,aptus,aptus value housing finance india limited
Home Finance,aavas financiers,7.73%,aavas,aavas financiers limited
Batteries,panasonic energy ind,0.59%,adaniensol,adani energy solutions limited
Batteries,indo-national,0.76%,nippobatry,indo-national limited
Batteries,high energy batterie,0.97%,gayahws,gayatri highways limited
Batteries,hbl power sys,22.14%,hblpower,hbl power systems limited
Batteries,exide inds,45.94%,exideind,exide industries limited
Batteries,eveready inds. india,4.29%,eveready,eveready industries india limited
Batteries,amara raja energy,25.31%,are&m,amara raja energy & mobility limited
Glass Products,triveni glass,0.08%,triturbine,triveni turbine limited
Glass Products,saint-gobain sekurit,2.42%,ttl,t t limited
Glass Products,la opala r g,12.60%,aartipharm,aarti pharmalabs limited
Glass Products,insilco,0.15%,linc,linc limited
Glass Products,hind national glass,0.52%,bajajhind,bajaj hindusthan sugar limited
Glass Products,haldyn glass,0.75%,asahiindia,asahi india glass limited
Glass Products,gmm pfaudler,21.77%,gmmpfaudlr,gmm pfaudler limited
Glass Products,empire inds,1.18%,happstmnds,happiest minds technologies limited
Glass Products,borosil renewables,25.99%,bororenew,borosil renewables limited
Glass Products,binani inds,0.05%,binaniind,binani industries limited
Glass Products,asahi india glass,34.49%,asahiindia,asahi india glass limited
Public Bank,union bank of india,6.75%,unionbank,union bank of india
Public Bank,uco bank,3.72%,ucobank,uco bank
Public Bank,karnataka bank,0.51%,ktkbank,the karnataka bank limited
Public Bank,j&k bank,0.85%,jkcement,jk cement limited
Public Bank,sbi,38.20%,sbicard,sbi cards and payment services limited
Public Bank,pnb,7.80%,pnb,punjab national bank
Public Bank,punjab & sind bank,2.44%,psb,punjab & sind bank
Public Bank,indian overseas bank,6.91%,iob,indian overseas bank
Public Bank,indian bank,4.03%,indianb,indian bank
Public Bank,idbi,5.06%,idbi,idbi bank limited
Public Bank,city union bank,0.58%,cub,city union bank limited
Public Bank,centralbank of india,3.11%,aban,aban offshore limited
Public Bank,canara bank,6.03%,canbk,canara bank
Public Bank,bank of maharashtra,2.61%,mahabank,bank of maharashtra
Public Bank,bank of india,3.62%,bankindia,bank of india
Public Bank,bank of baroda,7.79%,bankbaroda,bank of baroda
Innerwear Manufacturers,rupa & co,5.70%,balajee,shree tirupati balajee agro trading company limited
Innerwear Manufacturers,page industries,76.60%,pageind,page industries limited
Innerwear Manufacturers,lux industries,12.13%,luxind,lux industries limited
Innerwear Manufacturers,lovable lingerie,0.34%,lovable,lovable lingerie limited
Innerwear Manufacturers,dollar industries,5.23%,dollar,dollar industries limited
Plastic Pipes,supreme industries,24.08%,supremeind,supreme industries limited
Plastic Pipes,skipper,0.10%,skipper,skipper limited
Plastic Pipes,prince pipes & fitti,11.90%,princepipe,prince pipes and fittings limited
Plastic Pipes,prakash pipes,0.63%,ppl,prakash pipes limited
Plastic Pipes,prakash inds.,0.23%,hpil,hindprakash industries limited
Plastic Pipes,jain irrigation sys,1.06%,jisldvreqs,jain irrigation systems limited
Plastic Pipes,finolex inds,13%,fincables,finolex cables limited
Plastic Pipes,astral,49.02%,astral,astral limited
PSU,union bank of india,6.24%,unionbank,union bank of india
PSU,uco bank,2.85%,ucobank,uco bank
PSU,j&k bank,0.39%,jkcement,jk cement limited
PSU,fert chem travancore,0.08%,chamblfert,chambal fertilizers & chemicals limited
PSU,sail,1.06%,sail,steel authority of india limited
PSU,sbi,10.23%,sbicard,sbi cards and payment services limited
PSU,sjvn,0.66%,sjvn,sjvn limited
PSU,rcf,0.13%,rcf,rashtriya chemicals and fertilizers limited
PSU,rec,0.96%,recltd,rec limited
PSU,pnb,5.90%,pnb,punjab national bank
PSU,punjab & sind bank,1.41%,psb,punjab & sind bank
PSU,power grid corp,4.24%,powergrid,power grid corporation of india limited
PSU,pnb gilts,0.03%,pnbgilts,pnb gilts limited
PSU,oil india,1%,oil,oil india limited
PSU,ongc,10.26%,ongc,oil & natural gas corporation limited
PSU,national fertilizers,0.09%,nfl,national fertilizers limited
PSU,ntpc,6.15%,ntpc,ntpc limited
PSU,nmdc,1.68%,nmdc,nmdc limited
PSU,neyveli lignite,0.57%,ttl,t t limited
PSU,nhpc,1.42%,nhpc,nhpc limited
PSU,nbcc (india),0.67%,nbcc,nbcc (india) limited
PSU,mrpl,0.71%,mrpl,mangalore refinery and petrochemicals limited
PSU,mtnl,0.07%,mtnl,mahanagar telephone nigam limited
PSU,moil,0.13%,moil,moil limited
PSU,mmtc,0.22%,mmtc,mmtc limited
PSU,indian overseas bank,3.46%,iob,indian overseas bank
PSU,indian bank,0.83%,indianb,indian bank
PSU,ind tourism dev corp,0.13%,3mindia,3m india limited
PSU,iti,0.14%,iti,iti limited
PSU,idbi,4.58%,idbi,idbi bank limited
PSU,hindustan copper,0.29%,hindcopper,hindustan copper limited
PSU,hmt,0.31%,hmt,hmt limited
PSU,hil,0.02%,hil,hil limited
PSU,gail india,2.51%,gail,gail (india) limited
PSU,engineers india,0.28%,enginersin,engineers india limited
PSU,dredging corp,0.06%,dredgecorp,dredging corporation of india limited
PSU,container corp,1.44%,bbtcl,b&b triplewall containers limited
PSU,coal india,10.37%,coalindia,coal india limited
PSU,chennai petrol. corp,0.18%,chennpetro,chennai petroleum corporation limited
PSU,centralbank of india,3.88%,aban,aban offshore limited
PSU,canara bank,2.06%,canbk,canara bank
PSU,bhel,1.70%,bhel,bharat heavy electricals limited
PSU,bharat electronics,1.56%,bel,bharat electronics limited
PSU,bank of maharashtra,1.34%,mahabank,bank of maharashtra
PSU,bank of india,2.68%,bankindia,bank of india
PSU,bank of baroda,4.63%,bankbaroda,bank of baroda
PSU,balmer lawrie & co,0.10%,balmlawrie,balmer lawrie & company limited
PSU,beml,0.25%,beml,beml limited
PSU,andrew yule,0.06%,asalcbr,associated alcohols & breweries ltd.
Solar Panel Mfg,websol energy system,21.40%,webelsolar,websol energy system limited
Solar Panel Mfg,swelect energy,16.64%,swelectes,swelect energy systems limited
Solar Panel Mfg,solex energy,8.25%,adaniensol,adani energy solutions limited
Solar Panel Mfg,refex renewbl&infra,2.29%,refex,refex industries limited
Solar Panel Mfg,insolation energy,35.84%,adaniensol,adani energy solutions limited
Solar Panel Mfg,australian premium,4.89%,ttl,t t limited
Solar Panel Mfg,alpex solar,10.69%,solara,solara active pharma sciences limited
Paper & Board,west coast paper,8.32%,wstcstpapr,west coast paper mills limited
Paper & Board,trident,7.80%,trident,trident limited
Paper & Board,tn newsprints,3.67%,ramrat,ram ratna wires limited
Paper & Board,seshasayee paper,3.96%,seshapaper,seshasayee paper and boards limited
Paper & Board,orient paper & inds.,0.90%,greenpower,orient green power company limited
Paper & Board,nr agarwal inds,1.68%,knrcon,knr constructions limited
Paper & Board,kuantum papers,2.88%,kuantum,kuantum papers limited
Paper & Board,jk paper,11.63%,jkpaper,jk paper limited
Paper & Board,itc,54.86%,itc,itc limited
Paper & Board,ballarpur inds.,0.22%,BIL,BALLARPUR INDUSTRIES
Paper & Board,andhra paper,4.08%,andhrapap,andhra paper limited
Life Insurance,federal bank,0.09%,federalbnk,the federal bank  limited
Life Insurance,sbi life insuran,22.91%,sbilife,sbi life insurance company limited
Life Insurance,reliance capital,0.03%,rcom,reliance communications limited
Life Insurance,pnb,0.16%,pnb,punjab national bank
Life Insurance,max financial,5.50%,mfsl,max financial services limited
Life Insurance,kotak mahindra bank,13.79%,kotakbank,kotak mahindra bank limited
Life Insurance,idbi,0.20%,idbi,idbi bank limited
Life Insurance,icici prudential,15.02%,icicipruli,icici prudential life insurance company limited
Life Insurance,hdfc life insurance,24.34%,hdfclife,hdfc life insurance company limited
Life Insurance,exide inds,0.69%,exideind,exide industries limited
Life Insurance,edelweiss financial,0.63%,edelweiss,edelweiss financial services limited
Life Insurance,bajaj finserv,14.04%,bajajfinsv,bajaj finserv limited
Life Insurance,aditya birla capital,2.61%,abcapital,aditya birla capital limited
Asset Management,union bank of india,1.20%,unionbank,union bank of india
Asset Management,uti asset management,5.36%,utiamc,uti asset management company limited
Asset Management,sundaram finance,0.46%,sundarmfin,sundaram finance limited
Asset Management,sbi,6.76%,sbicard,sbi cards and payment services limited
Asset Management,nippon life india as,15.37%,nam-india,nippon life india asset management limited
Asset Management,motilal oswal fin,3.93%,motilalofs,motilal oswal financial services limited
Asset Management,mah & mah finl. serv,0.18%,bbtc,bombay burmah trading corporation limited
Asset Management,l&t finance,1.01%,ltf,l&t finance limited
Asset Management,kotak mahindra bank,3.56%,kotakbank,kotak mahindra bank limited
Asset Management,jm financial,0.11%,jmfinancil,jm financial limited
Asset Management,iifl finance,1.14%,iifl,iifl finance limited
Asset Management,idfc,0.18%,idfc,idfc limited
Asset Management,idbi,0.90%,idbi,idbi bank limited
Asset Management,icici bank,7.73%,icicibank,icici bank limited
Asset Management,hdfc asset mngt. co,40.41%,hdfcamc,hdfc asset management company limited
Asset Management,edelweiss financial,0.06%,edelweiss,edelweiss financial services limited
Asset Management,canara bank,0.53%,canbk,canara bank
Asset Management,bank of baroda,0.69%,bankbaroda,bank of baroda
Asset Management,axis bank,1.63%,axisbank,axis bank limited
Asset Management,aditya birla sun amc,6.67%,abcapital,aditya birla capital limited
Asset Management,aditya birla capital,2.13%,abcapital,aditya birla capital limited
Yarn,winsome textile,0.36%,winsome,winsome yarns limited
Yarn,vardhman textiles,29.61%,vtl,vardhman textiles limited
Yarn,vardhman polytex,0.56%,vardmnpoly,vardhman polytex limited
Yarn,sutlej textiles&inds,2.16%,sutlejtex,sutlej textiles and industries limited
Yarn,suryavanshi spg mill,0.03%,ambikco,ambika cotton mills limited
Yarn,suryalata spg mills,0.38%,ambikco,ambika cotton mills limited
Yarn,surat trade&min.,0.53%,sbglp,suratwwala business group limited
Yarn,super spinning mills,0.09%,superspin,super spinning mills limited
Yarn,sumeet inds,0.06%,sumeetinds,sumeet industries limited
Yarn,sportking india,2.41%,sportking,sportking india limited
Yarn,shree rajasthan syn.,0.05%,balajee,shree tirupati balajee agro trading company limited
Yarn,shiva texyarn,0.43%,shivatex,shiva texyarn limited
Yarn,shekhawati indust.,0.17%,shekhawati,shekhawati industries limited
Yarn,sangam india,5.42%,sangamind,sangam (india) limited
Yarn,sambandam spg. mills,0.15%,ambikco,ambika cotton mills limited
Yarn,rajapalayam mills,2.08%,ambikco,ambika cotton mills limited
Yarn,rswm,1.99%,rswm,rswm limited
Yarn,prag bosimi synth,0.05%,ttl,t t limited
Yarn,pioneer embroideries,0.28%,pioneeremb,pioneer embroideries limited
Yarn,patspin india,0.08%,3mindia,3m india limited
Yarn,pbm polytex,0.13%,vardmnpoly,vardhman polytex limited
Yarn,nitin spinners,4.43%,nitinspin,nitin spinners limited
Yarn,nahar ind.enterprise,1.21%,naharcap,nahar capital and financial services limited
Yarn,nagreeka exports,0.26%,nagreekexp,nagreeka exports limited
Yarn,mohit industries,0.06%,mohitind,mohit industries limited
Yarn,mid india inds.,0.03%,pyramid,pyramid technoplast limited
Yarn,lambodhara textiles,0.37%,lambodhara,lambodhara textiles limited
Yarn,lakshmi mills co,0.64%,jklakshmi,jk lakshmi cement limited
Yarn,lahoti overseas,0.33%,bang,bang overseas limited
Yarn,kandagiri spg mills,0.02%,ambikco,ambika cotton mills limited
Yarn,jaybharat textiles,2.33%,centurytex,century textiles & industries limited
Yarn,jbf industries,0.08%,aaron,aaron industries limited
Yarn,indo rama synth,2.61%,apolsinhot,apollo sindoori hotels limited
Yarn,gem spinners,0.05%,21stcenmgm,21st century management services limited
Yarn,gangotri textile,0.01%,centurytex,century textiles & industries limited
Yarn,gtn textiles,0.03%,centurytex,century textiles & industries limited
Yarn,gtn inds,0.13%,happstmnds,happiest minds technologies limited
Yarn,filatex india,6.33%,filatex,filatex india limited
Yarn,eurotex inds.&export,0.03%,eurotexind,eurotex industries and exports limited
Yarn,damodar inds.,0.23%,damodarind,damodar industries limited
Yarn,dcm,0.32%,dcm,dcm  limited
Yarn,amarjothi spg. mills,0.28%,ambikco,ambika cotton mills limited
Yarn,alok inds,31.78%,alokinds,alok industries limited
Yarn,aym syntex,1.11%,aymsyntex,aym syntex limited
Yarn,apm industries,0.28%,aaron,aaron industries limited
Pharma,zydus lifesciences,5%,zyduslife,zydus lifesciences limited
Pharma,wockhardt,0.22%,wockpharma,wockhardt limited
Pharma,vimta labs,0.07%,vimtalabs,vimta labs limited
Pharma,unichem lab,0.20%,unichemlab,unichem laboratories limited
Pharma,torrent pharma,5.23%,torntpharm,torrent pharmaceuticals limited
Pharma,ttk healthcare,0.06%,ttkhltcare,ttk healthcare limited
Pharma,suven life sciences,0.11%,suven,suven life sciences limited
Pharma,sun pharma inds.,23.73%,abslamc,aditya birla sun life amc limited
Pharma,sun pharma adv. res,0.59%,abslamc,aditya birla sun life amc limited
Pharma,strides pharma scien,0.26%,star,strides pharma science limited
Pharma,shilpa medicare,0.20%,shilpamed,shilpa medicare limited
Pharma,sequent scientific,0.18%,sequent,sequent scientific limited
Pharma,sms pharmaceuticals,0.05%,smspharma,sms pharmaceuticals limited
Pharma,piramal enterprises,1.53%,pel,piramal enterprises limited
Pharma,pfizer,1.59%,pfizer,pfizer limited
Pharma,panacea biotec,0.07%,panaceabio,panacea biotec limited
Pharma,neuland laboratories,0.23%,neulandlab,neuland laboratories limited
Pharma,nectar lifesciences,0.04%,neclife,nectar lifesciences limited
Pharma,natco pharma,1.01%,natcopharm,natco pharma limited
Pharma,morepen laboratories,0.13%,morepenlab,morepen laboratories limited
Pharma,marksans pharma,0.32%,marksans,marksans pharma limited
Pharma,lupin,2.97%,lupin,lupin limited
Pharma,lincoln pharma,0.07%,lincoln,lincoln pharmaceuticals limited
Pharma,laurus labs,1.59%,lauruslabs,laurus labs limited
Pharma,jubilant pharmova,0.45%,jublpharma,jubilant pharmova limited
Pharma,jb chem & pharma,1.54%,jbchepharm,jb chemicals & pharmaceuticals limited
Pharma,ipca laboratories,2.07%,ipcalab,ipca laboratories limited
Pharma,indoco remedies,0.30%,indoco,indoco remedies limited
Pharma,iol chem & pharma,0.11%,banka,banka bioloo limited
Pharma,hikal,0.35%,hikal,hikal limited
Pharma,hester biosciences,0.13%,hesterbio,hester biosciences limited
Pharma,gufic biosciences,0.18%,guficbio,gufic biosciences limited
Pharma,granules india,0.71%,granules,granules india limited
Pharma,glenmark pharma,1.32%,glenmark,glenmark pharmaceuticals limited
Pharma,glaxosmithkline phar,2.26%,glaxo,glaxosmithkline pharmaceuticals limited
Pharma,gland pharma,2.10%,gland,gland pharma limited
Pharma,fermenta biotech,0.03%,ajooni,ajooni biotech limited
Pharma,fdc,0.43%,fdc,fdc limited
Pharma,eris lifesciences,0.78%,eris,eris lifesciences limited
Pharma,dr. reddy's lab,7.75%,drreddy,dr. reddy's laboratories limited
Pharma,divi's lab,7.55%,divislab,divi's laboratories limited
Pharma,dishman carbogen amc,0.20%,dcal,dishman carbogen amcis limited
Pharma,claris lifesciences,0.22%,astec,astec lifesciences limited
Pharma,cipla,7.31%,cipla,cipla limited
Pharma,caplin point lab,0.46%,caplipoint,caplin point laboratories limited
Pharma,bliss gvs pharma,0.07%,blissgvs,bliss gvs pharma limited
Pharma,biocon,2.49%,biocon,biocon limited
Pharma,aurobindo pharma,3.05%,auropharma,aurobindo pharma limited
Pharma,astrazeneca pharma i,0.82%,astrazen,astrazeneca pharma india limited
Pharma,amrutanjan healthcar,0.17%,amrutanjan,amrutanjan health care limited
Pharma,alkem laboratories,4.09%,alkem,alkem laboratories limited
Pharma,alembic pharma,0.98%,aplltd,alembic pharmaceuticals limited
Pharma,alembic,0.08%,alembicltd,alembic limited
Pharma,ajanta pharma,1.53%,ajantpharm,ajanta pharma limited
Pharma,advanced enzyme,0.26%,advenzymes,advanced enzyme technologies limited
Pharma,abbott india,4.72%,abbotindia,abbott india limited
Pharma,aarti drugs,0.05%,aartidrugs,aarti drugs limited
Pipe Manufacturers,welspun corp,6.09%,welcorp,welspun corp limited
Pipe Manufacturers,tube investments,13.64%,tiindia,tube investments of india limited
Pipe Manufacturers,tata metal-amalgamat,0.62%,tatachem,tata chemicals limited
Pipe Manufacturers,surya roshni,1.74%,suryarosni,surya roshni limited
Pipe Manufacturers,supreme industries,12.47%,supremeind,supreme industries limited
Pipe Manufacturers,srikalahasthi pipes,0.32%,apollopipe,apollo pipes limited
Pipe Manufacturers,skipper,0.15%,skipper,skipper limited
Pipe Manufacturers,ratnamani metals,8.30%,ratnamani,ratnamani metals & tubes limited
Pipe Manufacturers,prakash inds.,0.13%,hpil,hindprakash industries limited
Pipe Manufacturers,man industries,1.02%,maninds,man industries (india) limited
Pipe Manufacturers,maharashtra seamless,4.79%,mahseamles,maharashtra seamless limited
Pipe Manufacturers,jindal saw,5.41%,jindalsaw,jindal saw limited
Pipe Manufacturers,jain irrigation sys,0.38%,jisldvreqs,jain irrigation systems limited
Pipe Manufacturers,gandhi spl. tubes,0.36%,butterfly,butterfly gandhimathi appliances limited
Pipe Manufacturers,finolex inds,5.33%,fincables,finolex cables limited
Pipe Manufacturers,electrost castings,4.72%,electcast,electrosteel castings limited
Pipe Manufacturers,astral,16.98%,astral,astral limited
Pipe Manufacturers,apl apollo tubes,17.56%,aplapollo,apl apollo tubes limited
Plywood,uniply inds,0.23%,happstmnds,happiest minds technologies limited
Plywood,rushil decor,2.96%,rushil,rushil decor limited
Plywood,greenply industries,10.33%,greenply,greenply industries limited
Plywood,greenpanel inds.,13.51%,greenpanel,greenpanel industries limited
Plywood,greenlam industries,22.87%,greenlam,greenlam industries limited
Plywood,century plyboards(i),49.51%,21stcenmgm,21st century management services limited
Plywood,archidply inds,0.59%,adl,archidply decor limited
Defence,zen technologies,0.65%,zentec,zen technologies limited
