MAJOR SECTOR,STOCKS,WEIGHT,SYMBOL,NAME OF COMPANY
Auto Ancillary,menon bearings,0.13%,menonbe,menon bearings limited
Auto Ancillary,mrf,8.82%,mrf,mrf limited
Auto Ancillary,lumax industries,0.41%,lumaxind,lumax industries limited
Auto Ancillary,lumax auto tech,0.45%,lumaxtech,lumax auto technologies limited
Auto Ancillary,jay bharat maruti,0.14%,jaybarmaru,jay bharat maruti limited
Auto Ancillary,jamna auto inds.,0.98%,jamnaauto,jamna auto industries limited
Auto Ancillary,jtekt india,0.65%,jtektindia,jtekt india limited
Auto Ancillary,jk tyres & inds.,1%,jkcement,jk cement limited
Auto Ancillary,jbm auto,1.89%,jbma,jbm auto limited
Auto Ancillary,india nipon electric,0.19%,3mindia,3m india limited
Auto Ancillary,hindustan composites,0.07%,hindcompos,hindustan composites limited
Auto Ancillary,gabriel india,0.48%,gabriel,gabriel india limited
Auto Ancillary,gna axles,0.42%,gna,gna axles limited
Auto Ancillary,fiem inds,1.02%,fiemind,fiem industries limited
Auto Ancillary,federal-mogul goetze,0.42%,fmgoetze,federal-mogul goetze (india) limited.
Auto Ancillary,enkei wheels,0.19%,sswl,steel strips wheels limited
Auto Ancillary,endurance tech,4.32%,endurance,endurance technologies limited
Auto Ancillary,dynamatic tech,0.25%,dynamatech,dynamatic technologies limited
Auto Ancillary,cholamandalam fin.,1.25%,cholafin,cholamandalam investment and finance company limited
Auto Ancillary,ceat,1.45%,ceatltd,ceat limited
Auto Ancillary,bosch,12.14%,boschltd,bosch limited
Auto Ancillary,bharat forge,4.97%,bharatforg,bharat forge limited
Auto Ancillary,banco products (i),0.40%,bancoindia,banco products (i) limited
Auto Ancillary,balkrishna inds.,9.34%,balkrishna,balkrishna paper mills limited
Auto Ancillary,auto.axle,0.89%,atulauto,atul auto limited
Auto Ancillary,automobile corp.goa,0.11%,goacarbon,goa carbon limited
Auto Ancillary,apollo tyres,5.03%,apollotyre,apollo tyres limited
Auto Ancillary,alicon castalloy,0.27%,alicon,alicon castalloy limited
Retail Chains,vip inds.,0.99%,vipclothng,vip clothing limited
Retail Chains,v2 retail,0.03%,v2retail,v2 retail limited
Retail Chains,v-mart retail,0.52%,vmart,v-mart retail limited
Retail Chains,trent,5.96%,trent,trent limited
Retail Chains,titan co,27.24%,titan,titan company limited
Retail Chains,shoppers stop,0.87%,shoperstop,shoppers stop limited
Retail Chains,reliance industries,30.79%,reliance,reliance industries limited
Retail Chains,praxis home retail,0.02%,praxis,praxis home retail limited
Retail Chains,metro brands,2.63%,metrobrand,metro brands limited
Retail Chains,kalyan jewell.india,1.32%,kalyani,kalyani commercials limited
Retail Chains,future retail,0.01%,fel,future enterprises limited
Retail Chains,future lifestyle,0.01%,flfl,future lifestyle fashions limited
Retail Chains,cesc,0.09%,cesc,cesc limited
Retail Chains,avenue supermarts,27.02%,dmart,avenue supermarts limited
Retail Chains,aditya birla fashion,2.48%,abfrl,aditya birla fashion and retail limited
Alcoholic Beverages,united spirits,50.87%,unitdspr,united spirits limited
Alcoholic Beverages,united breweries,28.47%,ubl,united breweries limited
Alcoholic Beverages,tilaknagar inds,2.52%,ti,tilaknagar industries limited
Alcoholic Beverages,som distilleries,1.33%,sdbl,som distilleries & breweries limited
Alcoholic Beverages,radico khaitan,14%,radico,radico khaitan limited
Alcoholic Beverages,ifb agro inds,0.16%,ifbagro,ifb agro industries limited
Alcoholic Beverages,globus spirits,1.31%,globusspr,globus spirits limited
Alcoholic Beverages,gm breweries,0.79%,gmbrew,gm breweries limited
Alcoholic Beverages,assoc alcohols &brew,0.54%,asalcbr,associated alcohols & breweries ltd.
Telecom,vodafone idea,13.67%,idea,vodafone idea limited
Telecom,tata communications,2.58%,tatacomm,tata communications limited
Telecom,reliance industries,2.88%,reliance,reliance industries limited
Telecom,mtnl,0.05%,mtnl,mahanagar telephone nigam limited
Telecom,bharti airtel,80.81%,bhartiartl,bharti airtel limited
NBFC DepositTaking,ujjivan fin-amalgama,0.17%,ujjivansfb,ujjivan small finance bank limited
NBFC DepositTaking,sundaram finance,1.97%,sundarmfin,sundaram finance limited
NBFC DepositTaking,shriram finance,3.86%,shriramfin,shriram finance limited
NBFC DepositTaking,shriram city union,1.37%,dcmshriram,dcm shriram limited
NBFC DepositTaking,repco home finance,0.14%,repcohome,repco home finance limited
NBFC DepositTaking,pnb housing finance,0.80%,pnbhousing,pnb housing finance limited
NBFC DepositTaking,muthoot capital serv,0.05%,muthootcap,muthoot capital services limited
NBFC DepositTaking,mah & mah finl. serv,2.35%,bbtc,bombay burmah trading corporation limited
NBFC DepositTaking,lic housing finance,2.48%,lichsgfin,lic housing finance limited
NBFC DepositTaking,hdfc-amalgamated,30.10%,hdfcamc,hdfc asset management company limited
NBFC DepositTaking,housing & urban dev.,0.83%,aadharhfc,aadhar housing finance limited
NBFC DepositTaking,gic housing fin,0.09%,gichsgfin,gic housing finance limited
NBFC DepositTaking,equitas holdings,0.45%,equitasbnk,equitas small finance bank limited
NBFC DepositTaking,can fin homes,1.06%,canfinhome,can fin homes limited
NBFC DepositTaking,bajaj finance,54.29%,bajfinance,bajaj finance limited
Packaging and Containers,technocraft inds,7.47%,tiil,technocraft industries (india) limited
Packaging and Containers,tpl plastech,1.20%,tplplasteh,tpl plastech limited
Packaging and Containers,tcpl packaging,4.22%,tcplpack,tcpl packaging limited
Packaging and Containers,oricon enterprises,1.54%,oriconent,oricon enterprises limited
Packaging and Containers,mold-tek packaging,14.59%,moldtkpac,mold-tek packaging limited
Packaging and Containers,kanpur plastipack,1.58%,kanprpla,kanpur plastipack limited
Packaging and Containers,kaira can co,1.09%,canbk,canara bank
Packaging and Containers,huhtamaki india,7.31%,huhtamaki,huhtamaki india limited
Packaging and Containers,hitech corporation,2.48%,hitechcorp,hitech corporation limited
Packaging and Containers,flexituff ventures,0.15%,flexituff,flexituff ventures international limited
Packaging and Containers,everest kanto cylind,15.18%,ekc,everest kanto cylinder limited
Packaging and Containers,emmbi industries,1.07%,emmbi,emmbi industries limited
Packaging and Containers,epl,35.33%,epl,epl limited
Packaging and Containers,bilcare,1.03%,linc,linc limited
Packaging and Containers,balmer lawrie & co,5.77%,balmlawrie,balmer lawrie & company limited
Chemicals,zuari industries,0.10%,zuariind,zuari industries limited
Chemicals,yasho industries,0.19%,yasho,yasho industries limited
Chemicals,worth peripherals,0.02%,worth,worth peripherals limited
Chemicals,vishnu chemicals,0.21%,vishnu,vishnu chemicals limited
Chemicals,vinyl chemicals,0.07%,vinylindia,vinyl chemicals (india) limited
Chemicals,vinati organics,1.50%,vinatiorga,vinati organics limited
Chemicals,vikas ecotech,0.07%,vikaseco,vikas ecotech limited
Chemicals,vidhi specialty food,0.23%,vidhiing,vidhi specialty food ingredients limited
Chemicals,valiant organics,0.11%,valiantorg,valiant organics limited
Chemicals,uflex,0.30%,uflex,uflex limited
Chemicals,transpek industry,0.10%,ttl,t t limited
Chemicals,time technoplast,0.56%,timetechno,time technoplast limited
Chemicals,thirumalai chemicals,0.24%,tirumalchm,thirumalai chemicals limited
Chemicals,fert chem travancore,4.24%,chamblfert,chambal fertilizers & chemicals limited
Chemicals,tata chemicals,2.73%,tatachem,tata chemicals limited
Chemicals,tanfac industries,0.20%,aaron,aaron industries limited
Chemicals,tn petro products,0.07%,ramrat,ram ratna wires limited
Chemicals,tpl plastech,0.05%,tplplasteh,tpl plastech limited
Chemicals,tgv sracc,0.09%,acc,acc limited
Chemicals,supreme industries,5.21%,supremeind,supreme industries limited
Chemicals,sudarshan chemicals,0.44%,sudarschem,sudarshan chemical industries limited
Chemicals,styrenix performance,0.26%,styrenix,styrenix performance materials limited
Chemicals,standard inds,0.01%,sil,standard industries limited
Chemicals,sree rayal.hi-strent,0.09%,sreel,sreeleathers limited
Chemicals,spic,0.15%,spic,southern petrochemicals industries corporation  limited
Chemicals,solar industries,7.75%,solarinds,solar industries india limited
Chemicals,sintex plastics tech,0.01%,shaily,shaily engineering plastics limited
Chemicals,signet industries,0.02%,sigind,signet industries limited
Chemicals,sigachi industries,0.20%,sigachi,sigachi industries limited
Chemicals,shri jagdamba poly,0.05%,dcmshriram,dcm shriram limited
Chemicals,shree pushkar chem,0.05%,shreepushk,shree pushkar chemicals & fertilisers limited
Chemicals,shivalik rasayan,0.09%,shivalik,shivalik rasayan limited
Chemicals,sharda cropchem,0.30%,shardacrop,sharda cropchem limited
Chemicals,seya industries,0.01%,seyaind,seya industries limited
Chemicals,sadhana nitro chem,0.16%,sadhnaniq,sadhana nitrochem limited
Chemicals,rubfila internatl.,0.04%,rubfila,rubfila international limited
Chemicals,responsive inds,0.78%,responind,responsive industries limited
Chemicals,rcf,0.75%,rcf,rashtriya chemicals and fertilizers limited
Chemicals,rama phosphates,0.03%,ramapho,rama phosphates limited
Chemicals,rajoo engineers,0.11%,ahlada,ahlada engineers limited
Chemicals,rdb rasayans,0.03%,RDB,RDB RASAYANS
Chemicals,punjab chem. & corp,0.12%,pnb,punjab national bank
Chemicals,privi speciality che,0.40%,priviscl,privi speciality chemicals limited
Chemicals,primo chemicals,0.09%,alkylamine,alkyl amines chemicals limited
Chemicals,prima plastics,0.02%,shaily,shaily engineering plastics limited
Chemicals,premier explosives,0.16%,premexpln,premier explosives limited
Chemicals,polyplex corporation,0.26%,polyplex,polyplex corporation limited
Chemicals,polson,0.02%,linc,linc limited
Chemicals,plastiblends india,0.06%,plastiblen,plastiblends india limited
Chemicals,pix transmission,0.18%,pixtrans,pix transmissions limited
Chemicals,pidilite inds.,15.28%,pidilitind,pidilite industries limited
Chemicals,paushak,0.16%,PAUSHAK,PAUSHAK LIMITED
Chemicals,pi industries,5.81%,piind,pi industries limited
Chemicals,pcbl,1.02%,pcbl,pcbl limited
Chemicals,oswal greentech,0.08%,oswalgreen,oswal greentech limited
Chemicals,oriental carbon&chem,0.07%,oal,oriental aromatics limited
Chemicals,oriental aromatics,0.11%,oal,oriental aromatics limited
Chemicals,orient press,0.01%,orientltd,orient press limited
Chemicals,oricon enterprises,0.06%,oriconent,oricon enterprises limited
Chemicals,nocil,0.43%,nocil,nocil limited
Chemicals,nilkamal,0.25%,nilkamal,nilkamal limited
Chemicals,neogen chemicals,0.32%,neogen,neogen chemicals limited
Chemicals,navin fluorine intl,1.53%,navinfluor,navin fluorine international limited
Chemicals,naperol investments,0.05%,dhuninv,dhunseri investments limited
Chemicals,nacl industries,0.12%,naclind,nacl industries limited
Chemicals,multibase india,0.03%,3mindia,3m india limited
Chemicals,mold-tek packaging,0.26%,moldtkpac,mold-tek packaging limited
Chemicals,meghmani organics,0.21%,mol,meghmani organics limited
Chemicals,mangalore chem &fert,0.13%,mangchefer,mangalore chemicals & fertilizers limited
Chemicals,mangalam organics,0.02%,manorg,mangalam organics limited
Chemicals,manali petro,0.10%,manalipetc,manali petrochemicals limited
Chemicals,mahindra epc irrigat,0.03%,mahepc,mahindra epc irrigation limited
Chemicals,lords chloro alkali,0.03%,lordschlo,lords chloro alkali limited
Chemicals,linde india,5.40%,lindeindia,linde india limited
Chemicals,laxmi organic inds.,0.66%,dhanbank,dhanlaxmi bank limited
Chemicals,kriti industries (i),0.07%,kriti,kriti industries (india) limited
Chemicals,kothari petrochem,0.07%,kotharipet,kothari petrochemicals limited
Chemicals,kkalpana lnds. (i),0.01%,bancoindia,banco products (i) limited
Chemicals,kisan mouldings,0.07%,raneholdin,rane holdings limited
Chemicals,kiri industries,0.17%,kiriindus,kiri industries limited
Chemicals,kingfa science,0.23%,kingfa,kingfa science & technology (india) limited
Chemicals,kanpur plastipack,0.02%,kanprpla,kanpur plastipack limited
Chemicals,kanoria chem. & inds,0.05%,kanorichem,kanoria chemicals & industries limited
Chemicals,jindal poly films,0.22%,jindalpoly,jindal poly films limited
Chemicals,jain irrigation sys,0.36%,jisldvreqs,jain irrigation systems limited
Chemicals,international convey,0.05%,intlconv,international conveyors limited
Chemicals,insecticides india,0.15%,insecticid,insecticides (india) limited
Chemicals,indo borax & chem.,0.05%,apolsinhot,apollo sindoori hotels limited
Chemicals,indo amines,0.08%,indoamin,indo amines limited
Chemicals,indian toners & dev,0.03%,iex,indian energy exchange limited
Chemicals,india glycols,0.25%,indiaglyco,india glycols limited
Chemicals,iol chem & pharma,0.22%,banka,banka bioloo limited
Chemicals,ig petrochem.,0.14%,adsl,allied digital services limited
Chemicals,hitech corporation,0.04%,hitechcorp,hitech corporation limited
Chemicals,hind organic chem,0.03%,bajajhind,bajaj hindusthan sugar limited
Chemicals,himadri speciality,1.53%,hscl,himadri speciality chemical limited
Chemicals,heubach colorants(i),0.10%,heubachind,heubach colorants india limited
Chemicals,gulshan polyols,0.11%,gulpoly,gulshan polyols limited
Chemicals,gsfc,0.84%,gsfc,gujarat state fertilizers & chemicals limited
Chemicals,gnfc,0.93%,gnfc,gujarat narmada valley fertilizers and chemicals limited
Chemicals,gujarat fluorochemic,3.46%,fluorochem,gujarat fluorochemicals limited
Chemicals,guj. alkalies & chem,0.51%,gujalkali,gujarat alkalies and chemicals limited
Chemicals,grauer & weil (i),0.43%,bancoindia,banco products (i) limited
Chemicals,genpharmasec,0.01%,GENPHARMA,GENPHARMA SECURITIES
Chemicals,garware hi-tech,0.42%,grwrhitech,garware hi-tech films limited
Chemicals,ganesh benzoplast,0.13%,ganeshbe,ganesh benzoplast limited
Chemicals,grp,0.09%,grpltd,grp limited
Chemicals,gocl corporation,0.23%,goclcorp,gocl corporation limited
Chemicals,ghcl,0.44%,ghcl,ghcl limited
Chemicals,flexituff ventures,0.01%,flexituff,flexituff ventures international limited
Chemicals,finolex inds,1.52%,fincables,finolex cables limited
Chemicals,fineotex chemical,0.42%,fcl,fineotex chemical limited
Chemicals,fine organic inds.,1.27%,camlinfine,camlin fine sciences limited
Chemicals,fiberweb india,0.01%,fiberweb,fiberweb (india) limited
Chemicals,excel industries,0.10%,excelindus,excel industries limited
Chemicals,ester inds,0.09%,ester,ester industries limited
Chemicals,emmbi industries,0.02%,emmbi,emmbi industries limited
Chemicals,elgi rubber co.,0.03%,elgiequip,elgi equipments limited
Chemicals,epl,0.57%,epl,epl limited
Chemicals,dynemic products,0.03%,dynpro,dynemic products limited
Chemicals,diamines & chemicals,0.05%,diaminesq,diamines & chemicals limited
Chemicals,dhanuka agritech,0.45%,dhanuka,dhanuka agritech limited
Chemicals,deepak nitrite,2.87%,deepakntr,deepak nitrite limited
Chemicals,deepak fert & petro,0.65%,deepakfert,deepak fertilizers and petrochemicals corporation limited
Chemicals,dmcc speciality chem,0.07%,dmcc,dmcc speciality chemicals limited
Chemicals,dcw,0.16%,dcw,dcw limited
Chemicals,cosmo first,0.14%,cosmofirst,cosmo first limited
Chemicals,coromandel interntl.,3.23%,coromandel,coromandel international limited
Chemicals,chemfab alkalis,0.09%,chemfab,chemfab alkalis limited
Chemicals,chembond chemicals,0.06%,chembond,chembond chemicals ltd
Chemicals,chambal fert & chem,1.41%,chamblfert,chambal fertilizers & chemicals limited
Chemicals,captain polyplast,0.03%,ttl,t t limited
Chemicals,camlin fine sciences,0.16%,camlinfine,camlin fine sciences limited
Chemicals,bombay oxygen invest,0.03%,bbtc,bombay burmah trading corporation limited
Chemicals,bodal chemicals,0.10%,bodalchem,bodal chemicals limited
Chemicals,bharat rasayan,0.35%,bharatras,bharat rasayan limited
Chemicals,bhansali engg. poly.,0.23%,bepl,bhansali engineering polymers limited
Chemicals,bhageria industries,0.07%,bhageria,bhageria industries limited
Chemicals,balaji amines,0.67%,balamines,balaji amines limited
Chemicals,basf india,1.51%,basf,basf india limited
Chemicals,atul,1.68%,atul,atul limited
Chemicals,astral,5.36%,astral,astral limited
Chemicals,asahi songwon colors,0.04%,asahisong,asahi songwon colors limited
Chemicals,arrow greentech,0.06%,arrowgreen,arrow greentech limited
Chemicals,apcotex inds,0.23%,apcotexind,apcotex industries limited
Chemicals,andhra petrochem,0.07%,acl,andhra cements limited
Chemicals,amines & plastic,0.09%,amnplst,amines & plasticizers limited
Chemicals,amal,0.05%,cholafin,cholamandalam investment and finance company limited
Chemicals,alkyl amines chem,0.96%,alkylamine,alkyl amines chemicals limited
Chemicals,aksharchem (i),0.02%,aksharchem,aksharchem india limited
Chemicals,aarti inds,2.45%,aartidrugs,aarti drugs limited
Packaging Films,uflex,8.11%,uflex,uflex limited
Packaging Films,srf,56.11%,srf,srf limited
Packaging Films,polyplex corporation,13.56%,polyplex,polyplex corporation limited
Packaging Films,nahar poly films,2.44%,naharpoly,nahar poly films limited
Packaging Films,jindal poly films,9.02%,jindalpoly,jindal poly films limited
Packaging Films,garware hi-tech,3.04%,grwrhitech,garware hi-tech films limited
Packaging Films,ester inds,2.20%,ester,ester industries limited
Packaging Films,cosmo first,5.53%,cosmofirst,cosmo first limited
Aviation,spicejet,4.21%,ttl,t t limited
Aviation,jet airways (i),1.17%,bluejet,blue jet healthcare limited
Aviation,interglobe aviation,94.61%,indigo,interglobe aviation limited
IT Small Cap,eclerx services,6.70%,eclerx,eclerx services limited
IT Small Cap,zen technologies,1.19%,zentec,zen technologies limited
IT Small Cap,vakrangee,17.44%,vakrangee,vakrangee limited
IT Small Cap,take solutions,3.40%,take,take solutions limited
IT Small Cap,sonata software,2.51%,sonatsoftw,sonata software limited
IT Small Cap,sasken technologies,0.83%,sasken,sasken technologies limited
IT Small Cap,saksoft,0.39%,saksoft,saksoft limited
IT Small Cap,ramco systems,4.28%,ramcosys,ramco systems limited
IT Small Cap,quick heal tech,1.96%,quickheal,quick heal technologies limited
IT Small Cap,prime focus,2.49%,pfocus,prime focus limited
IT Small Cap,onmobile global,2.14%,onmobile,onmobile global limited
IT Small Cap,nucleus software exp,0.84%,nucleus,nucleus software exports limited
IT Small Cap,niit,1.82%,niitltd,niit limited
IT Small Cap,mastek,0.72%,mastek,mastek limited
IT Small Cap,just dial,10.49%,justdial,just dial limited
IT Small Cap,intellect design,4.97%,intellect,intellect design arena limited
IT Small Cap,infinite computer,1.09%,cams,computer age management services limited
IT Small Cap,hinduja global soln.,1.45%,hgs,hinduja global solutions limited
IT Small Cap,hcl infosystems,2.33%,hcl-insys,hcl infosystems limited
IT Small Cap,firstsource solution,3.84%,fsl,firstsource solutions limited
IT Small Cap,expleo solutions,2.33%,expleosol,expleo solutions limited
IT Small Cap,datamatic global ser,0.52%,datamatics,datamatics global services limited
IT Small Cap,cyient,8.17%,cyient,cyient limited
IT Small Cap,cigniti technologies,1.86%,cignititec,cigniti technologies limited
IT Small Cap,birlasoft,6.76%,bsoft,birlasoft limited
IT Small Cap,axiscades tech.,1.97%,axiscades,axiscades technologies limited
IT Small Cap,aurum proptech,4.79%,aurum,aurum proptech limited
IT Small Cap,accelya solutions,2.14%,accelya,accelya solutions india limited
IT Small Cap,63 moons tech.,0.59%,63moons,63 moons technologies limited
Paint Manufacturers,shalimar paints,0.28%,shalpaints,shalimar paints limited
Paint Manufacturers,sirca paints india,0.50%,sirca,sirca paints india limited
Paint Manufacturers,mrf,0.10%,mrf,mrf limited
Paint Manufacturers,kansai nerolac paint,5.86%,kansainer,kansai nerolac paints limited
Paint Manufacturers,indigo paints,1.35%,indigopnts,indigo paints limited
Paint Manufacturers,berger paints india,15.89%,bergepaint,berger paints (i) limited
Paint Manufacturers,asian paints,73.07%,asianpaint,asian paints limited
Paint Manufacturers,akzo nobel india,2.94%,akzoindia,akzo nobel india limited
Media & Entertainment,zee media corpn.,1.08%,zeel,zee entertainment enterprises limited
Media & Entertainment,zee entertainment,28.68%,zeel,zee entertainment enterprises limited
Media & Entertainment,wonderla holidays,1.38%,wonderla,wonderla holidays limited
Media & Entertainment,ufo moviez,0.40%,ufo,ufo moviez india limited
Media & Entertainment,tv18 broadcast,12.83%,tv18brdcst,tv18 broadcast limited
Media & Entertainment,tv today network,2.27%,tvtoday,tv today network limited
Media & Entertainment,sun tv network,19.56%,suntv,sun tv network limited
Media & Entertainment,shemaroo entertain.,0.38%,shemaroo,shemaroo entertainment limited
Media & Entertainment,saregama india,9.25%,saregama,saregama india limited
Media & Entertainment,prime focus,2.72%,pfocus,prime focus limited
Media & Entertainment,network 18 media inv,9.16%,brnl,bharat road network limited
Media & Entertainment,music broadcast,0.89%,radiocity,music broadcast limited
Media & Entertainment,media matrix world,1.37%,bagfilms,b.a.g films and media limited
Media & Entertainment,eros internatl.media,0.31%,erosmedia,eros international media limited
Media & Entertainment,entertain. network,1%,brnl,bharat road network limited
Media & Entertainment,delta corp,7.98%,deltacorp,delta corp limited
Media & Entertainment,balaji telefilms,0.74%,balajitele,balaji telefilms limited
Tyre,tvs srichakra,1.40%,tvssrichak,tvs srichakra limited
Tyre,mrf,29.66%,mrf,mrf limited
Tyre,kesoram industries,0.53%,kesoramind,kesoram industries limited
Tyre,jk tyres & inds.,3.28%,jkcement,jk cement limited
Tyre,goodyear india,2.32%,3mindia,3m india limited
Tyre,ceat,3.78%,ceatltd,ceat limited
Tyre,balkrishna inds.,45.25%,balkrishna,balkrishna paper mills limited
Tyre,apollo tyres,13.78%,apollotyre,apollo tyres limited
Fertilizer,zuari agro chemicals,0.73%,zuari,zuari agro chemicals limited
Fertilizer,fert chem travancore,42.47%,chamblfert,chambal fertilizers & chemicals limited
Fertilizer,spic,1.52%,spic,southern petrochemicals industries corporation  limited
Fertilizer,shree pushkar chem,0.08%,shreepushk,shree pushkar chemicals & fertilisers limited
Fertilizer,rcf,7.10%,rcf,rashtriya chemicals and fertilizers limited
Fertilizer,paradeep phosphates,5.61%,paradeep,paradeep phosphates limited
Fertilizer,national fertilizers,4.39%,nfl,national fertilizers limited
Fertilizer,mangalore chem &fert,1.10%,mangchefer,mangalore chemicals & fertilizers limited
Fertilizer,kaveri seed,0.10%,kscl,kaveri seed company limited
Fertilizer,jp associate,1.27%,asalcbr,associated alcohols & breweries ltd.
Fertilizer,gsfc,5.87%,gsfc,gujarat state fertilizers & chemicals limited
Fertilizer,gnfc,1.96%,gnfc,gujarat narmada valley fertilizers and chemicals limited
Fertilizer,coromandel interntl.,27.80%,coromandel,coromandel international limited
